id;b01;b02;b03;b04;b05;b06;b07;b08;b09;b10;gender;year;fin_state
Номер респондента;Були засмучені через те, що сталось несподівано?;Bідчували, що неспроможні контролювати важливі речі у вашому житті?;Відчували себе знервовано чи в стані стресу?;Відчували себе впевнено стосовно того, що здатні впоратись з власними проблемами?;Відчували, що події відбуваються так, як вам треба?;Були впевненими, що не можете впоратись з усім тим, що маєте зробити?;Відчували себе здатними контролювати те, що вас дратує?;Були впевненими, що ви все контролюєте?;Були злими через події, які ви не могли контролювати?;Здавалось, що труднощі накопичуються так швидко, що ви не можете їх подолати?;Стать;Курс;Фінансове становище родини
104;2;2;3;1;1;3;1;1;3;3;2;4;3
105;2;0;4;4;2;3;4;2;0;4;1;4;4
106;4;4;4;1;1;4;1;2;4;4;2;3;4
107;2;1;2;4;4;0;3;4;3;1;1;3;4
108;3;2;4;2;2;2;1;2;3;3;2;3;3
109;2;1;3;3;3;0;2;2;3;2;2;3;4
110;2;4;4;3;2;4;2;2;4;4;2;4;3
111;1;1;2;3;3;0;2;3;3;1;2;3;4
112;1;3;3;4;4;1;2;3;4;1;2;3;4
113;3;4;4;1;2;1;2;2;1;4;2;3;3
114;2;2;4;1;2;4;2;2;3;4;2;3;3
115;1;3;4;3;3;1;2;2;2;3;2;3;4
116;2;3;3;3;2;2;3;2;3;3;2;3;4
117;3;3;4;2;2;3;2;2;4;4;2;3;4
118;1;3;3;2;1;4;1;1;3;4;2;3;3
119;2;2;3;3;2;3;1;1;3;3;2;3;4
120;4;4;4;1;0;4;1;0;3;4;2;4;2
121;3;2;3;2;3;2;2;1;3;1;2;4;4
122;3;4;4;1;1;3;1;1;3;4;1;3;3
123;4;4;4;1;1;0;1;1;4;2;2;4;4
124;2;2;1;2;2;1;3;2;1;1;1;3;3
125;3;3;4;2;2;2;1;1;4;4;2;3;4
126;2;1;1;3;3;1;2;2;2;1;2;2;4
127;2;1;1;3;4;1;3;3;1;1;1;2;4
128;1;1;1;3;4;2;3;2;1;3;2;3;4
129;2;3;4;2;1;3;1;0;3;2;2;3;4
130;2;4;3;2;1;1;2;1;0;3;1;3;4
131;2;4;4;3;2;2;2;2;3;3;2;4;5
132;1;1;2;3;3;2;1;3;2;2;2;3;4
133;1;2;1;3;3;1;2;2;0;1;1;3;4
134;1;0;1;3;3;2;3;3;0;1;2;3;4
135;4;3;3;3;2;4;1;2;4;4;2;4;3
136;1;2;3;3;2;2;3;2;3;2;1;4;4
137;1;3;3;2;3;2;1;1;3;2;2;4;3
138;1;1;2;3;2;1;3;3;3;1;2;4;4
139;3;3;4;1;1;3;1;1;3;3;2;4;3
140;2;2;2;4;4;3;2;2;3;1;2;4;4
141;4;2;3;2;2;3;2;3;2;3;2;3;3
142;1;1;2;3;2;3;3;2;1;4;2;3;4
143;1;3;3;2;2;4;2;1;2;4;2;3;3
144;1;1;2;4;3;1;4;2;3;1;2;3;4
145;3;3;4;2;2;4;4;1;4;4;2;3;3
146;2;3;3;1;2;4;1;0;3;2;1;3;3
147;0;0;2;2;3;0;4;4;0;1;2;3;4
148;2;0;2;4;4;1;2;3;3;1;2;3;4
149;1;1;3;2;2;0;2;1;3;2;2;4;4
150;2;1;3;3;2;2;1;1;3;3;2;3;4
151;1;1;2;4;4;0;3;3;2;2;2;3;3
152;2;1;3;2;2;3;1;2;3;3;2;3;3
153;2;1;4;2;1;3;4;3;4;2;2;3;4
154;2;3;3;3;3;1;1;1;3;2;2;3;4
155;2;2;3;2;3;2;2;1;1;1;2;2;3
156;1;4;4;2;1;4;2;0;4;4;2;2;3
157;2;1;2;3;3;1;3;3;2;0;2;3;2
158;4;4;4;4;1;0;3;3;3;0;2;2;2
159;2;4;4;2;3;4;1;0;4;3;2;2;4
160;3;3;3;4;2;1;4;3;3;2;2;2;3
161;4;4;4;1;1;4;1;1;4;4;2;2;4
162;2;3;4;2;3;2;2;2;3;3;2;2;4
163;1;3;4;3;2;2;3;2;4;1;1;3;3
164;3;2;3;2;3;3;3;3;4;3;2;3;4
165;2;3;4;1;1;0;2;0;2;4;2;2;2
166;1;0;2;4;3;4;2;3;3;1;2;2;4
167;2;4;4;1;1;3;1;0;2;4;2;3;4
168;3;4;4;2;2;2;1;1;3;4;1;2;3
169;3;4;2;3;2;1;2;2;0;0;1;3;4
170;3;2;4;3;3;2;2;2;3;4;2;2;4
171;4;4;4;2;2;4;2;1;2;3;1;3;4
172;4;4;4;2;2;4;2;1;2;3;1;3;4
173;0;0;1;3;3;3;3;2;1;2;1;1;3
174;1;3;4;3;3;1;0;2;1;4;1;1;3
175;1;2;1;3;3;3;1;2;0;3;2;2;3
176;2;1;3;4;1;1;2;1;3;2;2;1;4
177;3;3;3;4;2;1;3;2;3;2;2;1;4
178;1;3;4;3;4;1;1;3;4;1;2;1;4
179;2;3;2;3;4;2;3;2;1;1;2;3;3
